ID:143, Name:Aashirya, Major:CHE, Enrollment:Senior, Year:Yes, Age:18
ID:88, Name:Abdulai, Major:BME, Enrollment:Sophomore, Year:Yes, Age:21
ID:16, Name:Addelynn, Major:ECE, Enrollment:Junior, Year:Yes, Age:21
ID:174, Name:Adiel, Major:CS, Enrollment:Freshman, Year:Yes, Age:19
ID:25, Name:Aedin, Major:CS, Enrollment:Sophomore, Year:No, Age:20
ID:67, Name:Airess, Major:BME, Enrollment:Sophomore, Year:No, Age:22
ID:160, Name:Aiydan, Major:CHE, Enrollment:Senior, Year:No, Age:20
ID:34, Name:Aizen, Major:AA, Enrollment:Senior, Year:Yes, Age:22
ID:112, Name:Alaysha, Major:ECE, Enrollment:Sophomore, Year:No, Age:20
ID:21, Name:Aleksandr, Major:CS, Enrollment:Senior, Year:No, Age:20
ID:103, Name:Aliani, Major:CHE, Enrollment:Senior, Year:No, Age:20
ID:136, Name:Alys, Major:AA, Enrollment:Freshman, Year:No, Age:22
ID:187, Name:Ambrosia, Major:BME, Enrollment:Sophomore, Year:No, Age:18
ID:46, Name:Amirjon, Major:IE, Enrollment:Freshman, Year:Yes, Age:22
ID:58, Name:Amiyah, Major:CS, Enrollment:Sophomore, Year:No, Age:19
ID:145, Name:Amorah, Major:IE, Enrollment:Freshman, Year:Yes, Age:21
ID:54, Name:Analeigh, Major:AA, Enrollment:Senior, Year:No, Age:20
ID:163, Name:Anevay, Major:ME, Enrollment:Senior, Year:Yes, Age:19
ID:11, Name:Anir, Major:ECE, Enrollment:Junior, Year:Yes, Age:21
ID:96, Name:Anmol, Major:ECE, Enrollment:Senior, Year:Yes, Age:20
ID:69, Name:Araia, Major:CHE, Enrollment:Senior, Year:No, Age:20
ID:133, Name:Arilynn, Major:ECE, Enrollment:Sophomore, Year:No, Age:18
ID:82, Name:Aristotelis, Major:IE, Enrollment:Sophomore, Year:Yes, Age:21
ID:108, Name:Aryan, Major:ECE, Enrollment:Junior, Year:Yes, Age:18
ID:137, Name:Asa, Major:ME, Enrollment:Sophomore, Year:Yes, Age:19
ID:139, Name:August, Major:CS, Enrollment:Junior, Year:No, Age:22
ID:153, Name:Auna, Major:AA, Enrollment:Junior, Year:Yes, Age:21
ID:24, Name:Averianna, Major:ECE, Enrollment:Junior, Year:Yes, Age:20
ID:105, Name:Avis, Major:ECE, Enrollment:Junior, Year:Yes, Age:18
ID:113, Name:Azayla, Major:ME, Enrollment:Sophomore, Year:No, Age:18
ID:185, Name:Azaylia, Major:ECE, Enrollment:Sophomore, Year:No, Age:22
ID:91, Name:Azrael, Major:AA, Enrollment:Freshman, Year:Yes, Age:21
ID:126, Name:Basel, Major:ABE, Enrollment:Senior, Year:Yes, Age:19
ID:64, Name:Benoit, Major:IE, Enrollment:Senior, Year:Yes, Age:21
ID:190, Name:Berel, Major:ECE, Enrollment:Senior, Year:No, Age:19
ID:28, Name:Bradly, Major:ECE, Enrollment:Junior, Year:No, Age:20
ID:78, Name:Braelyn, Major:BME, Enrollment:Senior, Year:No, Age:21
ID:77, Name:Brayen, Major:AA, Enrollment:Sophomore, Year:Yes, Age:18
ID:92, Name:Brayshawn, Major:BME, Enrollment:Freshman, Year:Yes, Age:20
ID:98, Name:Breighlyn, Major:CS, Enrollment:Junior, Year:No, Age:21
ID:154, Name:Brigg, Major:ABE, Enrollment:Sophomore, Year:No, Age:21
ID:6, Name:Camp, Major:IE, Enrollment:Senior, Year:No, Age:21
ID:102, Name:Chenxi, Major:CHE, Enrollment:Freshman, Year:Yes, Age:19
ID:30, Name:Cherilyn, Major:CS, Enrollment:Freshman, Year:No, Age:19
ID:94, Name:Chloe, Major:IE, Enrollment:Sophomore, Year:Yes, Age:21
ID:48, Name:Collyn, Major:ECE, Enrollment:Sophomore, Year:No, Age:20
ID:84, Name:Colten, Major:ECE, Enrollment:Sophomore, Year:No, Age:22
ID:10, Name:Copelynn, Major:ECE, Enrollment:Freshman, Year:Yes, Age:21
ID:3, Name:Cosme, Major:AA, Enrollment:Junior, Year:No, Age:22
ID:189, Name:Daeson, Major:BME, Enrollment:Senior, Year:No, Age:18
ID:176, Name:Damiyah, Major:CS, Enrollment:Sophomore, Year:No, Age:19
ID:155, Name:Damontay, Major:ECE, Enrollment:Sophomore, Year:No, Age:21
ID:89, Name:Dedrick, Major:BME, Enrollment:Freshman, Year:Yes, Age:21
ID:179, Name:Dee, Major:AA, Enrollment:Sophomore, Year:No, Age:20
ID:193, Name:Denilson, Major:BME, Enrollment:Freshman, Year:No, Age:18
ID:101, Name:Dianne, Major:IE, Enrollment:Sophomore, Year:Yes, Age:20
ID:167, Name:Dominique, Major:CS, Enrollment:Sophomore, Year:Yes, Age:20
ID:162, Name:Drexler, Major:ABE, Enrollment:Senior, Year:Yes, Age:20
ID:119, Name:Ellowyn, Major:ABE, Enrollment:Junior, Year:Yes, Age:21
ID:41, Name:Emily, Major:CS, Enrollment:Senior, Year:Yes, Age:19
ID:51, Name:Emmerie, Major:CS, Enrollment:Freshman, Year:Yes, Age:18
ID:49, Name:Evalisse, Major:CHE, Enrollment:Freshman, Year:No, Age:21
ID:127, Name:Everrett, Major:ME, Enrollment:Sophomore, Year:Yes, Age:21
ID:18, Name:Evina, Major:ABE, Enrollment:Junior, Year:No, Age:19
ID:43, Name:Evleen, Major:CS, Enrollment:Freshman, Year:Yes, Age:21
ID:2, Name:Eyian, Major:CHE, Enrollment:Senior, Year:Yes, Age:20
ID:106, Name:Farzona, Major:ME, Enrollment:Freshman, Year:Yes, Age:19
ID:57, Name:Findley, Major:ABE, Enrollment:Sophomore, Year:Yes, Age:18
ID:19, Name:Finnick, Major:IE, Enrollment:Junior, Year:Yes, Age:22
ID:142, Name:Gahan, Major:ECE, Enrollment:Junior, Year:Yes, Age:21
ID:76, Name:Gayatri, Major:CHE, Enrollment:Senior, Year:Yes, Age:21
ID:121, Name:Geraldo, Major:CHE, Enrollment:Sophomore, Year:Yes, Age:19
ID:161, Name:Haydon, Major:CHE, Enrollment:Senior, Year:Yes, Age:19
ID:138, Name:Hayleigh, Major:ECE, Enrollment:Junior, Year:Yes, Age:22
ID:141, Name:Ilithyia, Major:AA, Enrollment:Sophomore, Year:No, Age:18
ID:196, Name:Inari, Major:BME, Enrollment:Junior, Year:Yes, Age:21
ID:146, Name:Isileli, Major:AA, Enrollment:Junior, Year:No, Age:21
ID:120, Name:Jacen, Major:ME, Enrollment:Junior, Year:Yes, Age:20
ID:59, Name:Jadah, Major:IE, Enrollment:Sophomore, Year:No, Age:21
ID:144, Name:Jaeshaun, Major:ABE, Enrollment:Freshman, Year:No, Age:22
ID:177, Name:Jailene, Major:ABE, Enrollment:Senior, Year:Yes, Age:20
ID:109, Name:Jamarious, Major:ECE, Enrollment:Freshman, Year:No, Age:22
ID:180, Name:Jaretzi, Major:BME, Enrollment:Senior, Year:No, Age:21
ID:156, Name:Jashun, Major:AA, Enrollment:Junior, Year:Yes, Age:21
ID:17, Name:Javan, Major:AA, Enrollment:Freshman, Year:No, Age:21
ID:12, Name:Jaxston, Major:ME, Enrollment:Sophomore, Year:Yes, Age:21
ID:129, Name:Jayah, Major:CHE, Enrollment:Junior, Year:Yes, Age:20
ID:40, Name:Jayln, Major:BME, Enrollment:Senior, Year:Yes, Age:21
ID:184, Name:Jazier, Major:ABE, Enrollment:Sophomore, Year:Yes, Age:18
ID:13, Name:Jerzie, Major:CHE, Enrollment:Freshman, Year:No, Age:19
ID:39, Name:Jocee, Major:IE, Enrollment:Junior, Year:No, Age:21
ID:72, Name:Joelie, Major:BME, Enrollment:Junior, Year:No, Age:22
ID:191, Name:Jovonte, Major:ME, Enrollment:Freshman, Year:No, Age:18
